accuracy,perf,pair_interaction_threshold_0,pair_interaction_decision_0,pair_interaction_decision_1,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8898008347677109,0.512255,0,0,0,1,0,1,2,0,0
0.8898008347677109,0.518129,49,0,0,27,0,0,17,1,1
0.8902044755764664,0.49423,18,1,0,15,0,1,2,0,1
0.8898026481971604,0.534,3,1,0,30,1,0,0,0,1
0.8897316448134209,0.534504,20,0,1,32,1,0,10,0,1
0.8898008347677109,0.510307,159,0,0,0,0,0,0,0,0
0.8900962110048045,0.330882,158,1,0,8,0,0,1,0,0
0.8898008347677109,0.507819,9,0,0,10,0,0,2,1,1
0.8900962110048045,0.314048,0,1,1,81,0,0,4,0,0
0.8900962110048045,0.313205,0,1,1,41,0,0,10,0,0
0.8893062170561068,0.545972,44,0,1,15,0,0,6,0,0
0.8898008347677109,0.51631,76,0,0,2,0,0,2,1,0
0.8900962110048045,0.338996,144,1,0,7,1,0,3,1,0
0.8898008347677109,0.513448,7,0,0,4,0,1,0,0,0
0.8900962110048045,0.314969,7,1,1,0,0,0,2,1,0
0.8900962110048045,0.335212,0,0,1,12,0,0,4,0,0
0.8898008347677109,0.512393,48,0,0,2,0,0,6,0,0
0.8898008347677109,0.509496,0,0,0,26,1,0,4,0,0
0.8901837721813,0.33322,82,1,0,0,0,1,1,1,0
0.8898008456094615,0.531701,1,1,0,0,1,1,12,1,1
0.8898008347677109,0.511154,0,0,0,26,0,0,7,0,0
0.8898008347677109,0.535493,113,0,1,7,0,0,1,0,0
0.8893206320541247,0.544519,45,0,1,1,1,1,0,0,1
0.8895862669095489,0.549237,24,0,1,0,0,0,0,0,1
0.8898008347677109,0.52123,8,0,0,0,0,0,6,0,1
0.8900962110048045,0.313491,1,1,1,57,0,0,11,0,0
0.8900962110048045,0.324626,0,1,1,41,0,0,10,0,1
0.8900962110048045,0.318853,0,1,1,41,0,0,25,0,0
0.8898008347677109,0.507906,5,0,0,0,0,0,0,0,0
0.8900962110048045,0.314635,0,1,1,41,0,0,15,0,0
0.8900962110048045,0.321386,0,1,1,49,0,0,10,0,0
0.8900962110048045,0.323924,0,1,1,36,0,0,10,0,0
0.8898008347677109,0.51286,8,0,0,1,0,0,1,0,0
0.8900962110048045,0.342096,20,1,1,2,0,0,0,1,1
0.8898008347677109,0.511611,146,0,0,7,0,1,4,1,0
0.8898008347677109,0.512032,184,0,0,1,0,1,3,1,0
0.8900962110048045,0.335321,114,1,0,2,0,0,1,0,0
0.8898008347677109,0.506922,39,0,0,9,0,0,1,0,0
0.8898008347677109,0.509506,12,0,0,15,0,0,2,0,0
0.8898008347677109,0.52072,158,0,0,2,0,0,0,0,0
0.8900962110048045,0.315727,0,1,1,41,0,0,10,0,1
0.8900962110048045,0.356592,0,0,1,41,0,0,0,0,0
0.8900962110048045,0.315074,0,1,1,41,1,0,4,0,0
0.8900962110048045,0.331785,0,1,1,0,1,0,10,0,0
0.8898008347677109,0.510786,2,0,0,0,0,0,13,0,0
0.8898008347677109,0.51714,0,0,0,24,1,1,0,0,0
