accuracy,perf,compute_sum_in_neighbors_threshold_0,compute_sum_in_neighbors_decision_0,compute_sum_in_neighbors_decision_1,update_node_rank_threshold_0,update_node_rank_decision_0,update_node_rank_decision_1
1.0,0.715131,45,0,0,147,0,0
1.0,0.724132,1,0,2,146,0,1
1.0,0.729196,112,1,0,195,1,1
1.0,0.736855,2,0,0,474,0,1
1.0,0.714012,6,1,3,6,0,1
1.0,0.713904,4,0,0,5,0,0
1.0,0.716042,5,1,1,0,1,0
1.0,0.734116,1,1,2,27,1,1
1.0,0.726328,0,0,1,340,0,0
1.0,0.830675,0,2,0,46,0,0
1.0,0.754008,6,0,1,31,0,0
1.0,0.738777,186,4,0,58,0,0
1.0,0.769797,523,0,0,0,1,0
1.0,0.73459,4,0,0,5,0,1
1.0,0.804281,4,0,0,6,0,0
1.0,0.78151,4,0,0,5,1,0
1.0,0.791216,35,0,0,5,0,0
1.0,0.781268,0,1,4,784,0,0
1.0,0.816508,799,0,0,28,0,1
1.0,0.786761,9,4,0,0,0,0
1.0,0.789328,1,3,1,519,0,0
1.0,0.767125,4,0,0,1,0,0
1.0,0.764588,4,0,0,5,1,0
1.0,0.772505,1,0,0,5,0,0
1.0,0.755704,4,0,0,5,1,0
1.0,0.752105,7,1,0,5,0,0
1.0,0.71447,6,0,0,5,0,0
1.0,0.720291,4,0,0,5,1,0
1.0,0.723614,6,0,0,30,0,0
1.0,0.758193,0,2,3,0,0,0
1.0,0.752756,0,0,1,20,0,1
1.0,0.806359,4,0,0,5,1,0
1.0,0.731938,4,0,1,5,0,0
1.0,0.725137,511,0,4,1,0,0
1.0,0.711376,4,4,0,2,0,0
1.0,0.709719,425,0,3,70,0,0
1.0,0.72716,16,1,0,364,1,0
1.0,0.755839,1,2,3,49,0,0
1.0,0.751614,888,3,1,0,1,0
1.0,0.761331,15,1,0,13,0,0
1.0,0.73398,0,1,4,628,0,0
1.0,0.714744,335,1,2,12,1,0
1.0,0.711376,3,3,2,6,1,0
1.0,0.734328,6,1,3,43,1,1
1.0,0.726123,1,0,4,77,0,1
1.0,0.713983,650,1,1,5,0,1
1.0,0.721756,332,0,2,235,0,1
1.0,0.711347,0,0,2,24,0,0
1.0,0.733829,134,0,3,9,0,1
1.0,0.711436,20,1,0,3,0,0
1.0,0.727386,27,1,0,23,1,0
1.0,0.78462,14,0,0,288,0,0
1.0,0.750827,69,1,1,1,0,0
1.0,0.724507,0,0,4,999,0,0
1.0,0.728407,696,2,2,0,1,0
1.0,0.734761,0,4,1,0,1,0
1.0,0.734536,25,2,0,15,0,1
1.0,0.767886,511,0,1,1024,0,0
1.0,0.738119,425,0,4,70,0,0
1.0,0.737814,636,0,3,71,0,0
1.0,0.73052,425,0,3,33,0,0
1.0,0.731356,425,0,3,66,0,0
1.0,0.737672,425,3,3,70,0,0
1.0,0.728718,0,0,3,70,0,0
1.0,0.767472,425,3,3,70,0,0
1.0,0.738078,0,0,0,516,0,0
1.0,0.74167,127,1,0,2,0,0
1.0,0.730532,1024,1,0,27,1,1
1.0,0.754534,0,0,1,8,0,1
1.0,0.732473,2,1,2,4,0,0
1.0,0.760453,1024,1,3,784,0,0
1.0,0.739073,799,0,0,28,0,0
1.0,0.734191,9,1,0,1024,0,0
1.0,0.739785,14,0,4,41,0,0
1.0,0.724665,425,0,2,70,0,0
1.0,0.725652,425,1,4,70,0,0
1.0,0.727905,447,0,3,70,0,0
1.0,0.729737,11,0,3,37,0,0
1.0,0.731305,425,0,3,9,0,0
1.0,0.727145,3,1,3,70,0,0
1.0,0.732732,425,0,0,70,0,0
1.0,0.7545,728,0,4,96,0,0
1.0,0.75806,1024,3,0,0,0,0
1.0,0.715525,4,4,0,0,0,0
1.0,0.738427,0,2,3,70,0,0
1.0,0.743657,2,0,1,26,0,0
1.0,0.726674,425,0,4,70,0,0
1.0,0.725995,380,0,2,70,0,0
1.0,0.784954,786,0,4,70,0,0
1.0,0.726478,147,0,4,68,0,0
1.0,0.735728,16,0,0,364,1,0
1.0,0.729347,1,1,3,49,0,0
1.0,0.760427,888,3,1,76,0,0
1.0,0.736161,39,0,3,50,0,0
1.0,0.742766,425,0,0,70,0,0
1.0,0.709852,425,1,3,70,0,0
1.0,0.748719,425,0,1,70,0,0
1.0,0.733483,0,0,3,382,0,0
1.0,0.719807,31,0,3,16,0,0
1.0,0.752879,4,0,2,74,0,0
1.0,0.730095,1,0,2,26,0,0
1.0,0.743898,15,1,0,13,0,1
1.0,0.718535,0,0,0,628,0,0
1.0,0.728909,335,1,2,24,1,1
1.0,0.742484,201,0,4,6,1,0
1.0,0.731604,530,0,3,69,0,0
1.0,0.74597,631,0,3,122,0,0
1.0,0.73591,591,0,3,70,0,0
1.0,0.725742,337,0,3,11,0,0
1.0,0.712458,425,0,0,70,0,0
1.0,0.724958,425,0,3,2,0,0
1.0,0.711587,11,0,3,70,0,0
1.0,0.743792,22,0,3,70,0,0
1.0,0.786323,6,1,3,1024,0,1
1.0,0.735233,1,2,0,77,0,0
1.0,0.727648,1024,1,0,5,0,1
1.0,0.734119,332,2,1,235,0,1
1.0,0.716863,18,1,1,92,0,0
1.0,0.728216,1,0,1,62,0,0
1.0,0.736663,119,0,4,82,0,0
1.0,0.741661,90,0,3,70,0,0
1.0,0.756438,2,0,2,68,0,0
1.0,0.724678,0,0,3,943,0,0
1.0,0.723053,569,0,3,70,0,0
1.0,0.736584,198,0,3,70,0,0
1.0,0.725697,425,0,3,24,0,0
1.0,0.729609,425,0,4,70,0,0
1.0,0.727847,425,0,3,41,0,0
1.0,0.739698,275,0,3,70,0,0
1.0,0.733122,3,0,2,73,0,0
1.0,0.726323,0,0,1,24,0,0
1.0,0.727398,13,0,3,9,0,1
1.0,0.725291,20,1,0,0,0,0
1.0,0.732475,63,0,1,2,0,0
1.0,0.730873,425,0,3,70,0,1
1.0,0.724073,425,0,1,2,0,0
1.0,0.728795,289,3,3,70,0,0
1.0,0.733709,15,0,1,14,0,0
1.0,0.724509,27,4,0,23,1,0
1.0,0.797963,14,0,0,0,0,0
1.0,0.727662,339,1,1,199,0,0
1.0,0.73424,24,0,2,39,0,0
1.0,0.735662,5,0,1,116,0,0
1.0,0.728991,5,0,1,76,0,0
1.0,0.714185,5,0,1,49,0,0
1.0,0.722015,425,0,3,41,0,0
1.0,0.735974,425,1,3,70,0,0
1.0,0.729965,808,0,3,70,0,0
1.0,0.721706,251,0,3,70,0,0
1.0,0.710146,425,0,3,0,0,0
1.0,0.724333,425,0,1,70,0,0
1.0,0.733548,425,0,0,70,0,0
1.0,0.750803,2,0,3,70,0,0
1.0,0.730238,560,1,2,11,1,0
1.0,0.726898,0,4,1,174,1,0
1.0,0.735402,15,2,0,1,0,1
1.0,0.735522,0,0,0,5,1,0
1.0,0.752623,8,0,1,82,0,0
1.0,0.722269,3,0,2,188,0,0
1.0,0.711507,425,0,2,36,0,0
1.0,0.716744,425,0,4,70,0,0
1.0,0.71511,64,1,1,877,1,0
1.0,0.72314,1024,1,0,0,1,1
1.0,0.734857,32,4,1,340,0,0
1.0,0.728315,1024,1,3,1,0,0
1.0,0.719122,425,0,2,70,0,0
1.0,0.7226,425,0,4,70,0,0
1.0,0.711698,425,0,4,70,0,0
1.0,0.729514,445,0,4,70,0,0
1.0,0.714161,425,0,0,70,0,0
1.0,0.71194,425,0,3,61,0,0
1.0,0.708127,425,0,3,70,1,0
1.0,0.725639,425,2,2,70,0,0
1.0,0.713074,425,0,3,22,0,1
1.0,0.743527,425,0,3,996,1,0
1.0,0.73258,425,0,3,31,0,0
1.0,0.736782,425,0,0,70,1,0
1.0,0.713653,425,4,3,70,1,0
1.0,0.716396,0,0,3,70,0,0
1.0,0.7372,425,0,3,70,0,0
1.0,0.715607,425,0,3,70,0,0
1.0,0.733131,425,0,3,70,0,0
1.0,0.739462,2,0,0,70,0,0
1.0,0.710176,425,0,3,35,1,0
1.0,0.719672,425,0,0,70,1,0
1.0,0.719434,425,3,3,70,1,0
1.0,0.711533,425,0,3,70,1,1
1.0,0.734795,425,0,3,2,1,0
1.0,0.730339,425,0,3,70,0,0
1.0,0.713925,425,0,1,21,1,0
1.0,0.735527,425,0,2,70,1,0
1.0,0.738772,94,0,3,70,1,0
1.0,0.758232,195,4,3,114,1,0
1.0,0.722337,425,0,4,70,0,0
1.0,0.731911,425,0,3,0,1,0
1.0,0.726789,425,0,0,70,1,0
1.0,0.72821,9,0,3,70,1,0
1.0,0.714723,425,0,2,70,1,0
1.0,0.727148,425,0,2,70,1,0
1.0,0.776872,425,0,3,700,0,0
1.0,0.709657,4,4,3,70,1,0
1.0,0.735081,425,0,3,2,1,0
1.0,0.727353,161,0,3,70,1,0
1.0,0.710869,425,0,3,70,0,0
1.0,0.71321,425,0,3,70,0,0
1.0,0.739604,3,0,3,70,1,0
1.0,0.71271,425,0,3,3,1,0
1.0,0.7244,425,0,0,70,0,0
1.0,0.724548,1,0,0,70,1,0
1.0,0.728442,425,0,2,70,0,0
1.0,0.7253,425,3,3,70,0,0
1.0,0.726658,425,0,3,70,1,1
1.0,0.729408,202,0,3,70,0,0
