accuracy,perf,compute_sum_in_neighbors_threshold_0,compute_sum_in_neighbors_decision_0,compute_sum_in_neighbors_decision_1,update_node_rank_threshold_0,update_node_rank_decision_0,update_node_rank_decision_1
1.0,0.71175,156,0,1,3,0,0
1.0,0.739842,282,0,2,6,0,0
1.0,0.74228,922,4,2,11,0,0
1.0,0.709147,922,0,2,8,0,0
1.0,0.73637,4,1,2,11,0,0
1.0,0.726883,784,0,2,6,0,0
1.0,0.725608,922,0,2,13,0,0
1.0,0.734594,922,0,2,8,0,0
1.0,0.731461,922,1,3,11,0,0
1.0,0.725678,763,0,2,7,0,0
1.0,0.721046,655,0,2,11,0,0
1.0,0.711734,676,0,2,7,0,0
1.0,0.727894,839,0,2,7,0,0
1.0,0.733459,638,0,2,7,0,0
1.0,0.731696,942,0,2,8,0,0
1.0,0.72486,306,0,2,1,0,0
1.0,0.720514,41,3,4,31,0,1
1.0,0.716709,1024,0,2,10,0,0
1.0,0.716985,0,0,2,11,1,0
1.0,0.725982,922,0,2,11,1,1
1.0,0.759564,306,0,2,640,0,0
1.0,0.73756,887,0,2,9,0,0
1.0,0.736293,598,0,1,4,0,0
1.0,0.72903,922,0,2,23,0,0
1.0,0.730269,922,0,2,20,0,0
1.0,0.726192,789,0,2,9,0,0
1.0,0.733263,777,0,2,11,0,0
1.0,0.734642,839,0,2,9,0,0
1.0,0.7279,880,0,2,9,0,0
1.0,0.731657,932,0,2,9,0,0
1.0,0.727323,767,0,2,9,0,0
1.0,0.726378,8,0,0,0,1,0
1.0,0.725441,0,4,1,10,0,1
1.0,0.724023,845,0,2,12,0,0
1.0,0.732038,922,0,4,11,0,0
1.0,0.723979,922,0,2,16,0,0
1.0,0.727662,922,0,0,11,0,1
1.0,0.723395,989,0,2,8,0,0
1.0,0.756445,856,0,2,11,0,0
1.0,0.73922,922,0,2,6,0,0
1.0,0.716259,553,0,2,5,0,0
1.0,0.708094,763,0,2,9,0,0
1.0,0.729607,82,1,0,11,0,0
1.0,0.741593,0,0,1,107,1,0
1.0,0.731078,9,0,1,497,0,0
1.0,0.721962,668,0,2,9,0,0
1.0,0.724473,763,0,2,39,0,0
1.0,0.724934,763,0,0,9,0,0
1.0,0.75084,763,0,0,17,1,0
1.0,0.727629,785,0,2,9,0,0
1.0,0.726184,0,0,0,19,1,1
1.0,0.726585,16,4,4,83,0,0
1.0,0.738053,93,4,1,0,1,1
1.0,0.733985,815,0,2,9,0,0
1.0,0.727163,383,0,2,15,0,0
1.0,0.708869,369,0,2,9,0,0
1.0,0.723213,763,0,2,69,0,0
1.0,0.726689,839,0,2,10,0,0
1.0,0.728223,869,0,2,8,0,0
1.0,0.724786,803,0,2,10,0,0
1.0,0.737928,776,0,2,9,0,0
1.0,0.73212,765,0,2,9,0,0
1.0,0.734928,819,0,2,9,0,0
1.0,0.713074,763,0,0,9,0,0
1.0,0.714001,763,0,3,9,0,0
1.0,0.730143,863,0,2,9,0,0
1.0,0.710084,23,0,0,3,0,0
1.0,0.727284,245,0,3,9,0,0
1.0,0.726154,763,0,2,4,0,0
1.0,0.725654,833,0,2,9,0,0
1.0,0.71987,763,0,3,9,0,0
1.0,0.709924,763,3,2,66,0,0
1.0,0.727597,763,0,2,739,0,0
1.0,0.732672,13,0,0,93,0,1
1.0,0.727485,0,2,0,552,0,0
1.0,0.710851,0,1,0,7,0,0
1.0,0.725352,152,2,3,1,0,1
1.0,0.729483,0,1,0,4,0,0
1.0,0.713571,0,1,1,7,0,0
1.0,0.731624,0,1,0,10,0,0
1.0,0.709226,0,1,0,8,0,0
1.0,0.736377,21,0,0,59,0,0
1.0,0.710534,79,0,4,2,0,0
1.0,0.713425,3,0,4,17,0,1
1.0,0.718797,624,0,0,57,0,0
1.0,0.710583,811,1,4,0,0,0
1.0,0.737171,31,0,0,718,0,0
1.0,0.726263,585,3,0,300,0,0
1.0,0.723291,41,1,4,461,1,0
1.0,0.736485,1,1,0,8,0,0
1.0,0.726968,0,2,0,2,0,0
1.0,0.730698,0,2,0,8,0,0
1.0,0.713653,2,0,0,9,0,0
1.0,0.733612,2,1,2,165,0,0
1.0,0.731367,37,0,2,2,1,1
1.0,0.737682,37,0,3,418,1,0
1.0,0.745492,580,0,1,4,0,0
1.0,0.738935,0,1,0,4,0,0
1.0,0.721211,0,1,0,3,0,0
1.0,0.719825,1,1,0,8,0,0
1.0,0.733619,0,0,0,8,0,0
1.0,0.735502,68,1,0,8,0,0
1.0,0.727541,135,1,0,8,0,0
1.0,0.724573,0,1,0,0,0,0
1.0,0.734596,14,1,0,8,0,0
1.0,0.725214,0,0,0,66,0,0
1.0,0.715412,54,0,3,80,0,0
1.0,0.726425,20,0,0,992,0,0
1.0,0.734567,6,0,4,20,0,0
1.0,0.722294,0,1,0,3,0,0
1.0,0.726583,0,1,0,25,0,0
1.0,0.731584,1,1,0,8,0,0
1.0,0.712028,0,1,0,4,0,0
1.0,0.72702,24,0,4,13,0,0
1.0,0.727157,765,0,0,240,0,1
1.0,0.710416,0,4,2,390,1,0
1.0,0.726751,7,1,2,6,0,0
1.0,0.726248,23,0,2,22,0,0
1.0,0.733292,18,1,0,8,0,0
1.0,0.716203,4,1,0,8,0,0
1.0,0.736224,4,1,2,8,0,0
1.0,0.728723,61,0,4,3,0,0
1.0,0.710712,1,1,0,8,0,0
1.0,0.716079,0,1,0,13,0,0
1.0,0.718927,1,1,0,8,0,0
1.0,0.716301,37,0,2,10,0,0
1.0,0.732429,903,1,0,667,1,0
1.0,0.723479,13,0,3,72,0,0
1.0,0.771687,3,0,2,6,0,0
1.0,0.739141,33,0,2,25,0,0
1.0,0.729103,0,1,0,8,1,0
1.0,0.746511,41,1,0,8,0,0
1.0,0.720697,0,1,0,988,0,0
1.0,0.715356,24,0,2,22,0,0
1.0,0.728714,0,0,0,8,0,0
1.0,0.731648,0,1,0,17,0,0
1.0,0.720476,0,1,0,11,0,0
1.0,0.730605,1024,0,4,2,0,0
1.0,0.739936,2,0,4,213,0,0
1.0,0.713665,161,0,1,7,1,0
1.0,0.727741,366,1,0,2,0,0
1.0,0.760694,4,0,1,39,0,0
1.0,0.708479,0,0,0,8,0,0
1.0,0.708496,1,1,0,8,0,0
1.0,0.726349,1,1,0,8,0,0
1.0,0.71605,1,0,0,8,0,0
1.0,0.735431,0,0,0,27,0,0
1.0,0.740764,2,0,0,8,0,0
1.0,0.724938,0,0,0,6,0,0
1.0,0.710313,0,0,0,4,0,0
1.0,0.712337,1,0,0,72,0,0
1.0,0.710886,0,0,0,20,0,0
1.0,0.721951,0,0,0,14,0,0
1.0,0.708733,5,0,0,8,0,0
1.0,0.72318,0,0,0,2,0,0
1.0,0.72586,0,0,0,5,0,0
1.0,0.70908,0,0,0,10,0,0
1.0,0.714608,0,0,0,26,0,0
1.0,0.728825,0,0,0,4,0,0
1.0,0.732373,0,0,0,31,0,0
1.0,0.724846,0,0,0,5,0,0
1.0,0.73995,1,0,0,12,0,0
1.0,0.781625,1,0,0,8,0,0
1.0,0.730651,0,0,0,3,0,0
1.0,0.725878,0,0,1,8,0,0
1.0,0.750514,17,0,4,6,0,0
1.0,0.742906,44,0,3,7,0,0
1.0,0.742419,65,0,3,15,0,0
1.0,0.72512,54,0,3,5,0,0
1.0,0.726025,0,0,0,8,0,1
1.0,0.730224,0,0,3,8,0,0
1.0,0.738531,0,0,2,8,0,0
1.0,0.728917,0,2,0,8,0,0
1.0,0.719302,0,0,0,2,0,0
1.0,0.722879,0,0,0,13,0,0
1.0,0.734162,2,0,0,8,0,0
1.0,0.734943,1,0,0,20,0,0
1.0,0.721388,99,0,1,35,0,1
1.0,0.724303,737,4,0,528,0,0
1.0,0.732515,413,0,0,159,1,1
